City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
252,Cockburn Town,TC,79.54,clear sky,21.4612,-71.1419,Osprey Beach Hotel
254,Galesong,ID,78.82,overcast clouds,-5.3166,119.3661,Sapriadi Appy
256,Nhulunbuy,AU,81.21,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
258,Soyo,AO,79.2,broken clouds,-6.1349,12.3689,Hotel Mpampa
262,Talara,PE,79.56,clear sky,-4.5772,-81.2719,Hostal Oro Negro
270,Conde,BR,85.46,few clouds,-7.2597,-34.9075,Pousada Beija Flor
274,Caravelas,BR,76.28,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
278,Fez,MA,89.85,clear sky,34.0372,-4.9998,Hotel Mounia Fès
282,Yarada,IN,84.52,few clouds,17.65,83.2667,Yarada Jungle Beach Resorts
283,Benicarlo,ES,76.24,scattered clouds,40.4165,0.4271,Hotel & Spa Peñíscola Plaza Suites
284,Rock Sound,BS,79.93,clear sky,24.9,-76.2,Pink Corral Bay Property
285,Quila,MX,84.06,scattered clouds,24.4228,-107.22,Madereria Mercado
286,Bathsheba,BB,86.61,few clouds,13.2167,-59.5167,Atlantis Hotel
289,Carupano,VE,86.32,few clouds,10.6678,-63.2585,Hotel La dorada
293,Silleda,ES,79.11,few clouds,42.696,-8.2465,Hotel Ramos
296,Natal,BR,84.85,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
298,Dibulla,CO,87.08,scattered clouds,11.2725,-73.3091,Hospedaje Dibulla Beach
300,Pilar,BR,82.33,scattered clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
302,Kavaratti,IN,85.12,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
305,Carballo,ES,81.82,scattered clouds,43.213,-8.691,Pazo do Souto
308,Salalah,OM,84.29,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
311,Sumenep,ID,81.75,moderate rain,-7.0167,113.8667,OYO 3271 Homestay Pandian
316,Bonthe,SL,80.08,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
329,Wanning,CN,75.94,overcast clouds,18.8003,110.3967,Paradise Hotel
332,Dawlatabad,AF,83.19,moderate rain,36.4141,64.9053,WASIM ASGAR KHAN
334,Hurghada,EG,77.41,broken clouds,27.2574,33.8129,Sea Star Beau Rivage Hotel
340,Lamar,US,87.64,broken clouds,33.6668,-95.5836,Kings Inn Paris TX
341,Winslow,US,75.38,clear sky,35.0242,-110.6974,Best Western Plus Winslow Inn
343,Ahvaz,IR,84.15,clear sky,31.3203,48.6693,tashrifat tourism travel agency
346,Victoria,HK,77.38,light rain,22.2855,114.1577,Mini Hotel Central
348,Kikwit,CD,77.5,overcast clouds,-5.041,18.8162,HOTEL PLACE YALABA
355,Brejinho,BR,83.5,overcast clouds,-6.1908,-35.3567,Recanto da Rosa
356,Tonj,SS,76.48,light rain,7.2737,28.6822,Lakan Hotel
357,Bambanglipuro,ID,77.97,overcast clouds,-7.95,110.2833,Puri Brata
358,Santo Antonio Da Platina,BR,75.0,clear sky,-23.295,-50.0772,Hotel Kanôa Tropical
360,Santa Maria Del Oro,MX,83.64,clear sky,25.9333,-105.3667,Hotel Palacio Del Sol
362,Morgan City,US,89.01,few clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
363,Praia,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
364,Lata,PT,77.29,broken clouds,40.1629,-8.3327,Casa Maquia
369,Gutad,PH,82.31,scattered clouds,14.9274,120.4894,KhielKhienahouse
376,Dalaba,GN,83.55,overcast clouds,10.7,-12.25,Hôtel Tangama
379,San Cristobal,VE,82.58,broken clouds,7.7669,-72.225,Pirineos
380,Bushehr,IR,78.53,clear sky,28.9684,50.8385,Yas Hotel
382,Sao Joao Da Barra,BR,80.69,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
385,Totness,SR,81.5,overcast clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
386,Salina,US,79.02,broken clouds,38.8403,-97.6114,"Holiday Inn Express & Suites Salina, an IHG Hotel"
393,Gushikawa,JP,76.62,overcast clouds,26.3544,127.8686,Kirari Guest House
401,Kupang,ID,79.57,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
406,Meybod,IR,80.62,clear sky,32.2501,54.0166,Traditional Hotel Restaurant Haji Malek
409,Dwarka,IN,82.56,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
416,San Luis,AR,75.13,overcast clouds,-33.295,-66.3356,Huarpes Hotel
424,Bekasi,ID,83.03,overcast clouds,-6.2349,106.9896,ASTON Imperial Bekasi Hotel & Conference Center
426,Roebourne,AU,77.61,overcast clouds,-20.7833,117.1333,Latitude20 Roebourne Village
428,Ferrol,ES,80.24,scattered clouds,43.4832,-8.2369,Hotel Spa Sercotel Odeón
429,Lucapa,AO,75.51,overcast clouds,-8.4192,20.7447,Residência Ulisses Dos Santos
438,Shache,CN,76.17,clear sky,38.4167,77.2406,Delong Hotel
441,Jacksonville,US,84.11,scattered clouds,30.3322,-81.6556,Hyatt Regency Jacksonville Riverfront
