City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Berlevag,NO,2022-05-07 18:10:12,70.8578,29.0864,39.0,81,20,29.93
68,Puerto Ayora,EC,2022-05-07 18:10:12,-0.7393,-90.3518,80.56,80,38,9.69
69,Ribeira Grande,PT,2022-05-07 18:10:13,38.5167,-28.7,64.8,68,20,5.75
70,Salalah,OM,2022-05-07 18:09:23,17.0151,54.0924,81.12,80,2,7.16
71,Hay River,CA,2022-05-07 18:10:13,60.8156,-115.7999,32.9,98,100,15.95
72,Sergeyevka,KZ,2022-05-07 18:10:14,53.88,67.4158,44.44,34,0,4.81
73,Bredasdorp,ZA,2022-05-07 18:10:14,-34.5322,20.0403,55.62,85,17,3.96
74,Saint-Ambroise,CA,2022-05-07 18:10:15,48.5501,-71.3324,55.58,25,1,5.3
75,Rocha,UY,2022-05-07 18:10:15,-34.4833,-54.3333,72.88,51,6,3.4
76,Jamestown,US,2022-05-07 18:05:33,42.097,-79.2353,61.52,43,0,18.41
77,Hobyo,SO,2022-05-07 18:10:15,5.3505,48.5268,83.17,83,57,19.53
78,Rio Grande,BR,2022-05-07 18:10:16,-32.035,-52.0986,77.11,61,0,5.84
79,Reconquista,AR,2022-05-07 18:06:21,-29.15,-59.65,74.84,54,92,6.62
80,Nottingham,GB,2022-05-07 18:07:43,52.9536,-1.1505,60.69,77,20,11.5
81,Arraial Do Cabo,BR,2022-05-07 18:10:17,-22.9661,-42.0278,76.86,69,40,6.91
82,Hilo,US,2022-05-07 18:08:59,19.7297,-155.09,83.28,88,100,6.91
83,Trollhattan,SE,2022-05-07 18:10:17,58.2333,12.4167,56.97,41,41,12.66
84,Namuac,PH,2022-05-07 18:10:18,18.6109,121.1657,79.52,85,95,9.31
85,Port Hedland,AU,2022-05-07 18:10:18,-20.3167,118.5667,71.65,64,2,6.91
86,Ust-Kuyga,RU,2022-05-07 18:10:18,70.0167,135.6,-5.01,99,24,6.38
87,Dikson,RU,2022-05-07 18:10:19,73.5069,80.5464,7.34,100,65,6.33
88,Pevek,RU,2022-05-07 18:10:19,69.7008,170.3133,23.38,95,100,4.99
89,Nome,US,2022-05-07 18:10:20,64.5011,-165.4064,32.16,86,100,20.71
90,Sampit,ID,2022-05-07 18:10:20,-2.5333,112.95,74.21,98,99,0.4
91,Mar Del Plata,AR,2022-05-07 18:09:10,-38.0023,-57.5575,73.42,62,0,21.85
92,Bethel,US,2022-05-07 18:09:32,41.3712,-73.414,54.64,57,100,12.66
93,Kuala Terengganu,MY,2022-05-07 18:11:21,5.3302,103.1408,80.2,88,98,9.84
94,Kununurra,AU,2022-05-07 18:07:31,-15.7667,128.7333,78.78,25,0,9.22
95,Cherskiy,RU,2022-05-07 18:08:46,68.75,161.3,28.31,96,99,1.59
96,Tabuk,PH,2022-05-07 18:11:22,17.4189,121.4443,75.47,90,78,4.27
97,Bichura,RU,2022-05-07 18:11:22,50.5881,107.6022,43.45,70,14,4.85
98,New Norfolk,AU,2022-05-07 18:11:23,-42.7826,147.0587,53.1,66,51,3.0
99,Shaoyang,CN,2022-05-07 18:11:24,27.2315,111.4525,69.3,94,99,2.64
100,Tuatapere,NZ,2022-05-07 18:11:24,-46.1333,167.6833,55.04,89,79,3.11
101,Kavieng,PG,2022-05-07 18:11:25,-2.5744,150.7967,82.63,78,65,17.98
102,Kodiak,US,2022-05-07 18:11:25,57.79,-152.4072,51.31,43,0,10.36
103,Oistins,BB,2022-05-07 18:11:26,13.0667,-59.5333,86.09,70,40,12.66
104,Esperance,AU,2022-05-07 18:11:26,-33.8667,121.9,57.52,48,73,16.75
105,Hithadhoo,MV,2022-05-07 18:08:32,-0.6,73.0833,84.2,76,65,15.57
106,Lorengau,PG,2022-05-07 18:11:27,-2.0226,147.2712,82.0,81,91,11.86
107,Yerbogachen,RU,2022-05-07 18:11:27,61.2767,108.0108,40.26,74,84,16.67
108,Aloleng,PH,2022-05-07 18:11:27,16.1307,119.7824,83.26,74,76,6.17
109,Kiknur,RU,2022-05-07 18:11:28,57.3034,47.2011,46.54,66,39,9.4
110,Progreso,MX,2022-05-07 18:11:28,21.2833,-89.6667,96.91,55,9,12.15
111,Kruisfontein,ZA,2022-05-07 18:11:29,-34.0033,24.7314,56.88,83,100,9.08
112,Isla Mujeres,MX,2022-05-07 18:11:29,21.2311,-86.731,87.85,69,98,11.74
113,Svetlogorsk,BY,2022-05-07 18:11:30,52.6333,29.7333,51.67,87,92,7.78
114,Hovd,MN,2022-05-07 18:11:30,48.0056,91.6419,61.74,26,100,7.96
115,Castro,BR,2022-05-07 18:11:31,-24.7911,-50.0119,66.15,46,35,4.56
116,Pajapan,MX,2022-05-07 18:11:31,18.25,-94.7,87.96,36,73,7.14
117,Mulki,IN,2022-05-07 18:11:31,13.1,74.8,83.48,78,40,3.44
118,Viedma,AR,2022-05-07 18:11:32,-40.8135,-62.9967,76.96,25,37,20.36
119,Tazovskiy,RU,2022-05-07 18:11:32,67.4667,78.7,1.53,98,12,7.99
120,Tukrah,LY,2022-05-07 18:11:33,32.5341,20.5791,65.44,77,1,9.46
121,Pisco,PE,2022-05-07 18:10:44,-13.7,-76.2167,69.85,78,24,11.5
122,Vangaindrano,MG,2022-05-07 18:11:34,-23.35,47.6,72.12,94,13,5.55
123,Noumea,NC,2022-05-07 18:11:34,-22.2763,166.4572,75.0,99,78,9.01
124,Sao Joao Da Barra,BR,2022-05-07 18:07:17,-21.6403,-41.0511,80.69,61,4,17.4
125,Bambous Virieux,MU,2022-05-07 18:08:02,-20.3428,57.7575,78.22,88,40,9.22
126,Kuminskiy,RU,2022-05-07 18:11:35,58.6667,66.5667,41.05,95,95,6.44
127,Adwa,ET,2022-05-07 18:11:35,14.1646,38.8955,75.79,43,90,4.29
128,San Patricio,US,2022-05-07 18:07:38,28.017,-97.5169,94.06,39,13,11.83
129,Olga,RU,2022-05-07 18:11:36,43.7444,135.2892,44.58,56,21,11.61
130,Nemuro,JP,2022-05-07 18:11:36,43.3236,145.575,46.85,98,100,28.88
131,Sakakah,SA,2022-05-07 18:11:36,29.9697,40.2064,69.82,20,1,4.76
132,East London,ZA,2022-05-07 18:11:37,-33.0153,27.9116,63.54,94,20,9.22
133,Willowmore,ZA,2022-05-07 18:11:38,-33.2926,23.4895,52.43,80,99,8.01
134,Lavrentiya,RU,2022-05-07 18:08:28,65.5833,-171.0,22.73,99,82,4.9
135,Grand Gaube,MU,2022-05-07 18:08:03,-20.0064,57.6608,78.39,73,9,7.0
136,Chimbote,PE,2022-05-07 18:11:38,-9.0853,-78.5783,71.11,75,59,11.05
137,Tougue,GN,2022-05-07 18:11:39,11.4667,-11.6,94.82,19,72,5.41
138,Cabra,ES,2022-05-07 18:07:40,37.4725,-4.4421,76.28,36,12,1.25
139,Port Elizabeth,ZA,2022-05-07 18:12:39,-33.918,25.5701,62.89,79,75,6.91
140,Acapulco,MX,2022-05-07 18:12:40,16.8634,-99.8901,84.02,65,100,6.91
141,Bontang,ID,2022-05-07 18:08:08,0.1333,117.5,79.03,88,100,4.52
142,Taltal,CL,2022-05-07 18:09:07,-25.4,-70.4833,62.35,80,92,6.24
143,Saskylakh,RU,2022-05-07 18:12:16,71.9167,114.0833,2.46,96,42,8.25
144,Yellandu,IN,2022-05-07 18:12:40,17.6,80.3333,85.6,55,91,3.65
145,Auki,SB,2022-05-07 18:12:41,-8.7676,160.7034,77.83,89,82,4.03
146,Dauphin,CA,2022-05-07 18:12:41,51.1494,-100.0502,72.59,46,94,14.25
147,Coquimbo,CL,2022-05-07 18:10:59,-29.9533,-71.3436,56.93,88,100,4.61
148,Andenes,NO,2022-05-07 18:12:07,69.3143,16.1194,33.78,86,75,19.57
149,Ilulissat,GL,2022-05-07 18:10:47,69.2167,-51.1,26.62,68,0,5.75
150,Kostrzyn,PL,2022-05-07 18:12:42,52.3985,17.2281,64.31,53,86,5.23
151,Port-Cartier,CA,2022-05-07 18:12:43,50.0334,-66.8654,41.11,57,17,4.81
152,Tyukalinsk,RU,2022-05-07 18:12:43,55.8732,72.1967,37.27,45,24,7.54
153,Ashcroft,CA,2022-05-07 18:12:44,50.7165,-121.2859,53.47,50,94,0.67
154,Dera Bugti,PK,2022-05-07 18:12:44,29.0307,69.151,91.78,11,0,4.94
155,Vao,NC,2022-05-07 18:12:44,-22.6667,167.4833,74.12,62,37,19.69
156,Sisimiut,GL,2022-05-07 18:12:45,66.9395,-53.6735,32.04,56,3,7.52
157,Enid,US,2022-05-07 18:12:45,36.3956,-97.8784,81.01,61,40,19.57
158,Inuvik,CA,2022-05-07 18:12:46,68.3499,-133.7218,32.11,88,100,5.3
159,Matara,LK,2022-05-07 18:12:46,5.9485,80.5353,79.81,91,63,9.06
160,Komsomolskiy,UZ,2022-05-07 18:07:49,40.4272,71.7189,77.97,35,0,4.05
161,La Puebla De Cazalla,ES,2022-05-07 18:10:44,37.2216,-5.3115,81.28,34,35,2.68
162,Dunedin,NZ,2022-05-07 18:12:47,-45.8742,170.5036,61.81,57,100,3.67
163,Labuhan,ID,2022-05-07 18:12:47,-6.8844,112.2051,79.61,87,60,4.88
164,Caluquembe,AO,2022-05-07 18:12:48,-13.7833,14.6833,62.85,58,81,4.63
165,Abu Samrah,SY,2022-05-07 18:12:48,35.3029,37.1841,59.7,50,14,13.53
166,Suratgarh,IN,2022-05-07 18:09:21,29.3167,73.9,95.59,12,0,7.61
167,Safaga,EG,2022-05-07 18:12:49,26.7292,33.9365,77.34,41,12,9.04
168,Tuktoyaktuk,CA,2022-05-07 18:12:50,69.4541,-133.0374,30.24,89,100,7.36
169,Buckeye,US,2022-05-07 18:12:20,33.3703,-112.5838,96.3,9,8,12.75
170,Businga,CD,2022-05-07 18:12:50,3.3333,20.8833,79.77,68,68,2.08
171,Inhambane,MZ,2022-05-07 18:12:51,-23.865,35.3833,71.58,83,0,0.0
172,Puerto Ayacucho,VE,2022-05-07 18:10:15,5.6639,-67.6236,78.01,83,96,5.39
