City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
85,Norman Wells,65.282,-126.8329,39.24,56,75,6.91,broken clouds
86,Atuona,-9.8,-139.0333,77.83,80,17,15.08,light rain
87,Dalvik,65.9702,-18.5286,39.13,78,99,5.3,overcast clouds
88,Merritt Island,28.5392,-80.672,73.98,81,0,12.66,clear sky
89,Cidreira,-30.1811,-50.2056,61.97,81,0,11.07,clear sky
90,Chokurdakh,70.6333,147.9167,15.82,92,17,4.9,few clouds
91,Malinovskiy,61.1953,62.8397,63.18,35,73,10.94,broken clouds
92,Carnarvon,-24.8667,113.6333,80.67,54,34,10.36,scattered clouds
93,Greytown,-29.0642,30.5928,55.9,94,96,3.67,light rain
94,Nanortalik,60.1432,-45.2371,37.45,79,100,4.18,overcast clouds
95,Yala,6.3333,101.25,88.41,72,100,1.16,overcast clouds
96,Victoria,22.2855,114.1577,84.18,62,67,13,light rain
97,Honningsvag,70.9821,25.9704,33.55,60,75,12.66,broken clouds
98,Bluff,-46.6,168.3333,56.8,89,100,3.24,overcast clouds
99,Kodiak,57.79,-152.4072,47.71,57,0,4.61,clear sky
100,Khatanga,71.9667,102.5,20.35,82,59,13.15,broken clouds
101,Iqaluit,63.7506,-68.5145,20.93,73,20,4.61,few clouds
102,Port Lincoln,-34.7333,135.8667,59.86,72,100,9.22,overcast clouds
103,Pevek,69.7008,170.3133,28.67,88,100,6.26,overcast clouds
104,Esperance,-33.8667,121.9,78.64,38,100,5.1,overcast clouds
105,Hami,42.8,93.45,82.56,19,100,9.35,overcast clouds
106,Mandera,3.9366,41.867,87.93,46,40,14.09,scattered clouds
107,Suyo,16.9762,120.5254,92.01,54,16,6.62,few clouds
108,Hermanus,-34.4187,19.2345,53.8,79,100,6.73,overcast clouds
109,Mahibadhoo,3.7833,72.9667,84.22,77,100,16.69,overcast clouds
110,Amsterdam,52.374,4.8897,52.86,77,20,8.05,few clouds
111,Gobabis,-22.45,18.9667,53.06,52,0,9.62,clear sky
112,Tautira,-17.7333,-149.15,80.94,75,14,1.7,few clouds
113,Calamar,10.2511,-74.9146,77.04,89,100,0.87,overcast clouds
114,Houma,29.5958,-90.7195,75,94,40,0,mist
115,Ostrovnoy,68.0531,39.5131,34.68,75,78,18.84,broken clouds
116,Mareeba,-17,145.4333,73.44,93,94,4.81,light rain
117,Airai,-8.9266,125.4092,68,74,74,4.76,broken clouds
118,Raga,8.4596,25.678,85.15,52,99,4.43,overcast clouds
119,Russell,32.3502,-85.1999,60.4,88,0,0,clear sky
120,Adrar,20.5022,-10.0711,81.93,15,6,8.48,clear sky
121,Tacoronte,28.4769,-16.4102,61.12,65,0,3.44,clear sky
122,Petropavlovsk-Kamchatskiy,53.0452,158.6483,57.79,58,0,11.18,clear sky
123,Upernavik,72.7868,-56.1549,3.36,77,19,5.97,few clouds
124,Katsuura,35.1333,140.3,57.36,75,100,13.65,overcast clouds
125,Muzhi,65.3667,64.6667,41.07,99,97,9.1,overcast clouds
126,Santa Lucia,27.9117,-15.5407,58.32,83,20,18.41,few clouds
127,Lebu,-37.6167,-73.65,52.95,94,8,3.06,clear sky
128,Port Hedland,-20.3167,118.5667,86.05,39,10,18.41,clear sky
129,Tasiilaq,65.6145,-37.6368,30.36,68,100,5.86,overcast clouds
130,Otane,-39.8833,176.6333,58.01,87,52,1.99,broken clouds
131,Barrow,71.2906,-156.7887,23.02,93,100,4.61,mist
132,Yatou,37.15,122.3833,50.49,77,100,15.37,overcast clouds
133,Narsaq,60.9167,-46.05,50.22,64,100,6.69,overcast clouds
134,Carutapera,-1.195,-46.02,75.47,93,97,1.95,light rain
135,Jiayuguan,39.8167,98.3,74.44,15,2,12.33,clear sky
136,Pampa,35.5362,-100.9599,77.95,88,0,18.41,clear sky
137,Uruzgan,32.8333,66,84.81,13,0,4.03,clear sky
138,Kasempa,-13.4584,25.8338,70.45,64,12,4.21,few clouds
139,Medea,36.2642,2.7539,54.64,55,0,1.23,clear sky
140,Saldanha,-33.0117,17.9442,48.25,70,20,5.73,few clouds
141,Dao,11.3937,122.6856,85.01,59,48,11.5,scattered clouds
142,Cabra,37.4725,-4.4421,60.66,73,100,2.55,overcast clouds
143,Kaitangata,-46.2817,169.8464,53.64,97,100,0.31,overcast clouds
144,Wagga Wagga,-35.1167,147.3667,61.21,63,100,10.36,overcast clouds
145,Praia Da Vitoria,38.7333,-27.0667,56.75,88,20,0.56,few clouds
146,Saint George,37.1041,-113.5841,77.59,9,0,18.41,clear sky
147,Toora-Khem,52.4675,96.11,40.28,43,100,12.97,overcast clouds
148,Herat,34.5,62,88.72,18,100,9.51,overcast clouds
149,Adur,9.1667,76.7333,83.34,82,100,4.97,overcast clouds
150,Faanui,-16.4833,-151.75,82.27,73,8,8.7,clear sky
151,Hithadhoo,-0.6,73.0833,84.27,76,59,18.5,broken clouds
152,Salmon Arm,50.6998,-119.3024,47.52,89,100,2.3,overcast clouds
153,Provideniya,64.3833,-173.3,31.82,98,100,9.17,light snow
154,Danielskuil,-28.1887,23.5395,51.12,56,0,7.47,clear sky
155,Homestead,25.4687,-80.4776,77.02,88,0,6.87,clear sky
156,Waingapu,-9.6567,120.2641,85.62,70,74,17.6,broken clouds
157,Nabire,-3.3667,135.4833,85.24,71,92,3.67,overcast clouds
158,Cherskiy,68.75,161.3,26.33,92,100,16.11,overcast clouds
159,Arrifes,37.7667,-25.7,63.23,94,75,0,broken clouds
160,Christchurch,-43.5333,172.6333,68.2,65,100,12.66,light rain
161,Lipetsk,52.6031,39.5708,56.98,47,100,8.19,overcast clouds
162,Myitkyina,25.3833,97.4,101.44,28,4,2.57,clear sky
163,Geraldton,-28.7667,114.6,84.61,23,8,12.66,clear sky
164,Lanzhou,36.0564,103.7922,53.11,68,100,5.77,overcast clouds
165,Henties Bay,-22.116,14.2845,57.51,83,0,6.8,clear sky
166,Koson,39.0375,65.585,93.52,15,0,9.24,clear sky
167,San Cristobal,7.7669,-72.225,65.46,98,100,2.55,overcast clouds
168,Nouadhibou,20.931,-17.0347,62.58,94,75,14.97,broken clouds
169,Muroto,33.2833,134.15,66,62,5,12.82,clear sky
170,La Ronge,55.1001,-105.2842,46.65,81,100,5.75,overcast clouds
171,Trairi,-3.2778,-39.2689,74.34,95,100,6.96,light rain
172,Husavik,66.0449,-17.3389,40.55,77,100,6.93,overcast clouds
173,Half Moon Bay,37.4636,-122.4286,54.1,70,100,32.21,haze
174,Marevo,57.3146,32.0804,47.19,94,100,9.66,light rain
175,Lata,40.1629,-8.3327,62.6,51,99,2.84,overcast clouds
176,Necochea,-38.5473,-58.7368,60.21,71,62,15.26,broken clouds
177,Kilembe,0.2,30,71.44,65,100,4.43,light rain
178,Waycross,31.2136,-82.354,60.85,99,0,0,clear sky
179,Sao Joao Da Barra,-21.6403,-41.0511,67.41,92,2,11.65,clear sky
180,Acapulco,16.8634,-99.8901,78.62,83,20,3.44,few clouds
181,Marystown,47.1666,-55.1483,31.86,100,0,7,clear sky
182,Broome,42.2506,-75.833,38.32,79,0,1.99,clear sky
183,Zhigansk,66.7697,123.3711,34.97,99,100,13,overcast clouds
184,Quebrada Larga,14.1,-86.3667,74.08,91,100,2.13,overcast clouds
185,Donskoye,45.4552,41.9741,53.73,52,95,4.29,overcast clouds
186,Ancud,-41.8697,-73.8203,55.24,96,100,19.62,moderate rain
187,Chuy,-33.6971,-53.4616,54.1,91,37,5.19,scattered clouds
188,Alofi,-19.0595,-169.9187,75.09,94,100,4.61,overcast clouds
189,Srivardhan,18.0333,73.0167,89.8,59,72,16.64,broken clouds
190,Batemans Bay,-35.7167,150.1833,62.1,63,98,1.79,overcast clouds
191,Lazaro Cardenas,17.9583,-102.2,75.07,81,37,2.66,scattered clouds
192,Mar Del Plata,-38.0023,-57.5575,56.95,88,88,7,overcast clouds
193,Iquitos,-3.7481,-73.2472,72.07,99,100,0.89,overcast clouds
194,Valentigney,47.4639,6.8317,57.97,81,15,8.68,few clouds
195,Escanaba,45.7453,-87.0646,46.71,65,0,6.91,clear sky
196,Lagoa,39.05,-27.9833,59.88,70,13,5.82,few clouds
197,Wairoa,-39.0333,177.3667,59.56,77,3,1.01,clear sky
198,Te Anau,-45.4167,167.7167,54.25,91,100,0.96,overcast clouds
199,Grand Gaube,-20.0064,57.6608,82.38,66,41,10,scattered clouds
200,Urengoy,65.9667,78.3667,26.46,89,75,8.61,broken clouds
201,Homer,59.6425,-151.5483,48.07,76,0,8.05,clear sky
202,La Grande,45.3246,-118.0877,39,73,90,4.14,overcast clouds
203,Shelbyville,35.4834,-86.4603,54.72,47,100,6.91,overcast clouds
204,Leningradskiy,69.3833,178.4167,25.5,94,100,6.11,overcast clouds
205,Sur,22.5667,59.5289,92.75,46,0,5.41,clear sky
206,Pangkalanbuun,-2.6833,111.6167,87.21,70,98,3.62,light rain
207,Talnakh,69.4865,88.3972,18.21,85,30,11.5,scattered clouds
208,Makokou,0.5738,12.8642,73.62,93,98,0.92,overcast clouds
209,Ambilobe,-13.2,49.05,85.33,57,54,4.79,broken clouds
210,Saint-Philippe,-21.3585,55.7679,81.99,82,53,12.73,light rain
211,Naliya,23.2667,68.8333,92.88,44,0,17.67,clear sky
212,Constitucion,-35.3333,-72.4167,53.02,75,0,3.09,clear sky
213,Lakhnadon,22.6,79.6,102.83,10,0,8.63,clear sky
